Ticket,Authority
السلام عليكم انا مشتكي على محل غرفه نوم في الحراج الجديد وهذا رقم البلاغ الاول 111214251 وماصار اي شي بموضوع ولا استفدت شي ورفعت بلاغ ثاني مرره وبرضو مااستفدت شي ابغى حل لاني متضرر اذا انتو ماقدرتو تحلون لي الموضوع وش اسوي انا,وزارة التجارة
"نفس وضعك لي اسبوعين احاول اسدد ماعرفت الطريقة ولا جاتني فاتورة بالسداد
 
 وبعدين يرفعون عليك قضية إيقاف خدمات",وزارة التجارة
اسوء شركة شحن وادق عليهم يقولو ما عليكي رفعنا طلبك وكل يوم ادق ونفس الحل صارو الحين معد يردو,الهيئة العامة للنقل
من 25-1 الى اليوم وجهازي لم يتم اصلاحه بل تم اتلافه بسبب الفني اللي استلم الجهاز ولاهناك رد لامن التجاره ولاالشركة,وزارة التجارة
تقدمت ببلاغ تستر. وتم الاتصال بي لمعرفه الادله ! انه عمل تحري وليس هذا هو دوري !,وزارة التجارة
"السلام عليكم 
 تم طلب طاولة من هوم سنتر 
 ودفع مبلغ ??? ريال للتوصيل 
 وتم جدولة الطلب من الموقع على اساس انها تصل امس الاربعاء 
 
 وعند التواصل مع خدمة عملاء هوم سنتر لايوجد اي استجابة فما الحل ؟",وزارة التجارة
فيه عروض على باقات الصيانة الدورية؟,وزارة التجارة
"رديتوا وقلتم إن الشحنة في عملية التخليص الجمركي وتنتظرون حتى توصل لمنشآتكم عشان توصلونها لي
 التخليص الجمركي ووصولها لمنشآتكم كلها من مسؤولياتكم
 ليش أنا أتضرر من تأخيركم في أداء أعمالكم
 التخليص الجمركي ماياخذ يوم
 ليش جالسة يومين؟ هذا وأنا طالب استعجال للشحنة
 أجل لو ماطلبت وش بيصير",الهيئة العامة للنقل
انا نقلت سجل تجاري لي شخص اخر لاكن كيف انقل الحساب البنكي لسى مسجل باسمي؟؟؟,وزارة التجارة
ساحبين مني مبلغ ولا تم العقد ولا أرسلتوا لي شي واحاول اتواصل معكم ولا احصل اي رد اكيد ومفهوم وبعدين معاكم ؟,وزارة التجارة
أنا طلبت عطر بعيد الاضحى من عطر سوفت ولا جاني العطر وانا دافعة,وزارة التجارة
خذو لفه على محلات السباكة العماله الهنديه لاعبه في السوق كله مقلد و يبيعه على أنه ايطالي و شرط ارخص من الصيني.,وزارة التجارة
هل يحق للتاجر والمتجر,وزارة التجارة
"حصلت معي أكثر من مرة و تفاجأت إن المنشأة التجارية -اللي بلغت عنها - لا زالت رافضة استقبال ال?يزا!! 
 بالفترة الأخيرة صار البلاغ مرفوض للأسف الشديد",وزارة التجارة
الله ياخذ شركة ايمايل ادفع شركة شفتها بحياتي لو سمحتو اتمنى تشوفون لنا حل معاهم تعبنا وحنا ننتظر طلباتنا صار لها دهر عندهم مو راضين يوصلونها لنا,الهيئة العامة للنقل
طلبت طلبيع عطور وبعد انتظار ومماطله ارسلوا لي ان العطور خلصت سوف يتم ارجاع المبلغ في حسابك لا يوجد اي تواصل ولا رد منهم بالواتس او تويتر او سناب مماطله جدا,وزارة التجارة
تم رفض تصديق خطاب لمؤسستي. ما المقصود بسبب (كتابة الخطاب على مطبوعات المنشأة)؟,وزارة التجارة
"سلام عليكم
 شريت تلفزيون والغيت الطلب ولي ?? يوم مجاني الفلوس وارسل عليه في تويتر يصرفني والمكالمه لي ?? دقيقه محد رد
 رجعو فلوسي يرحم امكم فاتورتي برقم جوالي ??????????
 ابي اقدم شكوى معرف 
 ذولي هم",وزارة التجارة
السلام عليكم اتمنى تشوفون لنا حل معى شركة ايمايل طلبيتنا واصله الرياض من قبل اسبوع وللحين مو راضين يشحنونها لنا و احنا دافعين فيها فلوس,الهيئة العامة للنقل
السلام عليكم حابة أرفع شكوى على شركة الشحن,الهيئة العامة للنقل
وحده تواصلت معي على الانستغرام وتم النصب عليها من موقع ويذكر بأن المحل في حده حسب المعلومات .. وايضاً رقم التواصل سعودي! تم اخذ المبلغ المالي ولم يتم توصيل طلبها! وقد يكون تستر او احد الاساليب الغير شرعيه لكسب المال!,وزارة التجارة
أتوقع مخالف توزيع الجوائز بشرط الشراء او الدخول في حساب توضع الجوائز بدون شرط او قيد ؟؟,وزارة التجارة
السلام عليكم قمت بشحن الخط الخاص بي من شركة ريد بول من تطبيق الراحجي موبايل ولم تتم عملية الشحن مع العلم ان المبالغ خصمت من حسابي وهي 140ريال وتواصلت مع قسم الشكاوي ومر الان 24ساعة ولم يتم انصافي او اعادة المبلغ في حسابي مع العلم انني قدمت كل الاثبايات التي تدل على الخصم دون جدوى,ساما
نجعل التسوق سهلًا وبسيطًا. تعرف على المزيد من المعلومات حول سياستنا الإرجاع في المملكة العربية السعودية هنا:,وزارة التجارة
كيف اسوي طلب وتسحبون المبلغ بعدين تقولون نعتذر ولا ترجعون الفلوس ؟,وزارة التجارة
شحنتي لها ?? ايام معلقه وش الحلللللل,الهيئة العامة للنقل
اخدت دواء من صيدليه وطلع الدواء مستخدم ايش الاجراء,وزارة التجارة
ابغا ارفع شكوى على علي اكسبرس,وزارة التجارة
يلا شوفو لي حل مع هذا المتجر؟؟,وزارة التجارة
ابغ أقدم شكوى على ورشة سيارات عن طريق وزارة التجارة أو الشرطة؟,وزارة التجارة
كيف طريقة رفع بلاغ على منشاة تشترط الشراء مقابل الدخول في سحب على الجوائز,وزارة التجارة
"طلبيتي م جات من ? رمضان طالبها وللحين م وصلت واكلمكم عبر جميع وسائل التواصل ولا فيه اي رد 
 *خدمة سيئة*",وزارة التجارة
أتمنى ترجعون فلوسي ، للعطور اللي استرجعها يا حراميه. استرجعت العطور من تاريخ 12 فبراير وللآن ما رجعو فلوسي.,وزارة التجارة
"هذا حاط ملصق عند البوابة وتم رفض التجارة للبلاغ 
 مانبي احد يتواصل معنا على الخاص بس حبيت اعلمكم فقط",وزارة التجارة
